id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup,season
619,Sergio Agüero,33,2551,26,25.270159743726254,8,5.568922242149711,148,33,4,0,F S,Manchester City,21,20.70318364351988,27.805154908448458,6.878173082135618,2014
647,Harry Kane,34,2589,21,17.15729223564267,4,3.922500966116786,112,27,4,0,F M S,Tottenham,19,14.873822528868914,16.488438992761075,5.549698735587299,2014
802,Diego Costa,26,2111,20,15.219103761017324,3,4.554670915938914,76,41,8,0,F S,Chelsea,19,14.45793492347002,21.36578990891576,5.27697272785008,2014
848,Charlie Austin,35,3078,18,17.881850190460682,5,2.548747032880783,131,23,4,1,F,Queens Park Rangers,15,14.076042897999288,13.718276167288424,3.041321298107505,2014
498,Alexis Sánchez,35,2967,16,13.451749975793064,8,8.49417957291007,122,82,4,0,F M S,Arsenal,16,12.690581078641117,27.15757153555751,10.736752955242991,2014
502,Olivier Giroud,27,1871,14,8.846344472840428,3,3.8601362351328135,70,29,5,1,F S,Arsenal,14,8.846344472840428,13.639880420640113,4.129246938973665,2014
701,Eden Hazard,38,3389,14,12.016092173755167,9,11.23889049515128,78,100,2,0,M,Chelsea,11,8.971416749060154,31.84057115018368,19.476321395486597,2014
811,Saido Berahino,38,2940,14,13.84175339434296,1,1.961660521104932,86,28,2,0,F M S,West Bromwich Albion,10,10.797114790417254,11.907293939962983,2.439557683654129,2014
606,Christian Benteke,29,2380,13,8.455073807388544,2,2.9213200323283672,80,33,1,1,F S,Aston Villa,12,7.693904969841242,8.725395945832133,2.198609022423625,2014
617,David Silva,32,2682,12,9.096987545490263,7,10.388413229957225,66,92,8,0,M,Manchester City,12,9.096987545490263,29.14427815377712,16.633573447354138,2014
629,Wayne Rooney,33,2887,12,8.902106503024697,5,3.983562218025327,79,45,5,1,F M,Manchester United,11,7.379768742248416,15.435743432492018,7.295702989213169,2014
841,Graziano Pellè,38,3291,12,18.616503284312785,2,4.481623747386038,123,43,6,0,F S,Southampton,12,18.616503284312785,24.785646935924888,5.598169405013323,2014
622,Wilfried Bony,30,1604,11,10.45473239198327,3,3.5082936231046915,89,26,3,1,F S,"Manchester City,Swansea",10,9.693563554435968,14.2522145062685,4.412425408139825,2014
648,Nacer Chadli,35,2423,11,6.865526346489787,5,3.935559866018593,54,41,3,0,M S,Tottenham,11,6.865526346489787,15.642377668060362,8.626995285972953,2014
756,Leonardo Ulloa,37,2434,11,8.92391943745315,3,3.791994614526629,49,36,3,0,F S,Leicester,9,7.401581762358546,9.963016773574054,2.509369350038469,2014
850,Papiss Demba Cissé,22,1137,11,8.957138858735561,1,0.3346783183515072,45,7,1,0,F S,Newcastle United,10,8.196006797254086,7.444708488881588,0.6167381759732962,2014
868,Mame Biram Diouf,34,2451,11,11.64697848726064,3,3.4661409705877304,55,28,7,0,F M S,Stoke,11,11.64697848726064,13.599629578180611,0.8619841616600752,2014
986,Danny Ings,35,3048,11,12.289515919983389,4,4.244326277635992,97,35,6,0,F M,Burnley,10,11.528347082436085,16.5587038686499,2.825656677596271,2014
594,Romelu Lukaku,36,2880,10,12.43079612404108,5,2.350205834954977,105,37,1,0,F S,Everton,8,10.90853263437748,15.743810007348657,5.078922747634351,2014
646,Christian Eriksen,38,3160,10,7.389632631093264,2,6.088786538690329,97,84,4,0,M S,Tottenham,10,7.389632631093264,21.318574644625187,13.018117560073732,2014
656,Diafra Sakho,23,1765,10,9.07037549559027,2,2.615855718962848,66,23,2,0,F M S,West Ham,10,9.07037549559027,9.083610157482326,0.9128178954124452,2014
838,Sadio Mané,30,2142,10,8.553969949483871,3,3.982477756217122,60,40,5,0,F M S,Southampton,10,8.553969949483871,14.5672763325274,4.032990455627441,2014
878,Yaya Touré,29,2358,10,7.109345279633999,1,3.2435781778767705,89,33,5,0,M S,Manchester City,8,5.587007623165846,26.024327591061592,20.90326175838709,2014
4387,Robin van Persie,27,2126,10,11.603471722453833,2,2.986051801592112,76,27,5,0,F S,Manchester United,9,10.081134106963871,12.917514119297266,1.6887292927131057,2014
554,Juan Mata,33,2318,9,6.5977564714849,4,4.968638537451625,33,50,2,0,M S,Manchester United,8,5.8365875743329525,14.520848767831922,7.047830257564783,2014
4408,Steven Gerrard,28,2239,9,7.108814503997564,1,3.2090775687247515,54,52,7,0,F M S,Liverpool,5,3.30297027528286,8.18137452378869,5.5866065211594105,2014
723,Ki Sung-yueng,33,2692,8,4.330577909946442,1,1.2641465356573462,28,26,4,0,M S,Swansea,8,4.330577909946442,11.960132017731668,9.004478190094233,2014
863,Jonathan Walters,32,2439,8,5.561564696952701,4,3.240074114408344,45,24,5,0,F M S,Stoke,8,5.561564696952701,9.58107604412362,2.669186648912728,2014
872,Peter Crouch,33,1648,8,6.730623106472194,2,1.8830661876127124,59,15,4,0,F S,Stoke,8,6.730623106472194,9.373048391193151,3.592045398429036,2014
940,Nikica Jelavic,26,1815,8,4.894789138808847,1,0.8632266633212566,57,17,3,0,F S,Hull,8,4.894789138808847,5.708562222309411,1.0867639323696494,2014
595,Kevin Mirallas,29,1430,7,4.718503348529339,1,1.5895477198064327,52,18,3,0,F M S,Everton,7,3.957334525883198,6.504366559907794,2.2814471749588847,2014
618,Raheem Sterling,35,3059,7,8.785912293940783,7,6.0366210248321295,84,75,5,0,F M S,Liverpool,7,8.785912293940783,18.19585334509611,5.501672655344009,2014
690,Loïc Remy,21,839,7,4.655208880081773,0,0.6052638720721006,37,6,0,0,F M S,"Chelsea,Queens Park Rangers",7,4.655208880081773,5.653262756764889,1.6453860998153689,2014
